Date,City,Median Listing Price: All Homes,Median Listing Price: Single Family,Median Listing Price: Condos,Median Rental: All Homes,Median Rental: Single Family,Median Rental: Condos,Zillow Home Value Index: All Homes,Zillow Home Value Index: Single Family,Zillow Home Value Index: Condos,Zillow Rental Value Index: All Homes,Zillow Rental Value Index: Single Family
9/30/2014,Atlanta,213137.5,219800,159000,1150,1147,1150,149700,151800,122000,1285,1217
10/31/2014,Atlanta,209900,215000,159900,1150,1150,1150,150700,152500,123500,1289,1224
11/30/2014,Atlanta,210000,216495.5,160000,1150,1150,1150,151600,153300,125000,1292,1230
12/31/2014,Atlanta,205000,212900,157500,1128,1150,1000,152400,154200,126100,1291,1233
1/31/2015,Atlanta,204975,213100,159900,1125,1144,1075,152900,154700,126600,1296,1234
2/28/2015,Atlanta,208000,214900,165000,1145,1150,1090,153300,154900,126900,1297,1235
3/31/2015,Atlanta,209900,215000,174400,1182.5,1195,1100,153900,155400,127200,1304,1237
4/30/2015,Atlanta,213990,219900,174900,1200,1200,1195,154700,156400,128300,1312,1240
5/31/2015,Atlanta,219000,225000,174500,1200,1200,1200,155700,157600,130000,1324,1247
6/30/2015,Atlanta,220000,227000,174900,1250,1250,1225,156700,158600,131500,1336,1256
7/31/2015,Atlanta,219900,225000,169844.5,1248.5,1250,1200,157700,159400,132300,1348,1267
8/31/2015,Atlanta,224500,228400,190000,1200,1200,1225,158700,160200,132600,1356,1277
9/30/2015,Atlanta,224800,228067.5,193990,1200,1200,1225,159500,161100,132300,1362,1283
10/31/2015,Atlanta,224934,228710,199900,1200,1200,1250,160000,161800,132100,1365,1284
11/30/2015,Atlanta,224000,225900,199900,1200,1200,1289.5,160600,162400,132100,1362,1281
12/31/2015,Atlanta,224900,226820,199900,1200,1200,1250,161500,163200,132400,1361,1277
1/31/2016,Atlanta,224990,229000,197000,1225,1225,1250,162400,164200,133600,1365,1279
2/29/2016,Atlanta,225000,229900,199900,1245,1225,1250,163100,165100,135500,1367,1283
3/31/2016,Atlanta,229900,235000,195000,1250,1250,1275,164000,166100,137700,1365,1291
4/30/2016,Atlanta,235990,244900,197000,1275,1275,1269,165500,167400,139700,1372,1296
5/31/2016,Atlanta,240039,249900,204000,1300,1300,1275,167200,168800,141400,1384,1302
6/30/2016,Atlanta,244900,249900,203230,1300,1300,1250,168700,170200,143200,1397,1309
7/31/2016,Atlanta,244900,249900,204900,1300,1300,1275,170200,171800,145700,1409,1315
8/31/2016,Atlanta,240400,249000,199925,1299,1300,1250,171800,173400,148100,1418,1322
9/30/2016,Atlanta,240410,247542,199789,1299,1295,1301.5,173400,174900,150300,1424,1329
10/31/2016,Atlanta,245000,249900,198750,1300,1300,1303,174800,176200,152200,1422,1333
11/30/2016,Atlanta,242425,248500,196279,1300,1300,1325,176100,177600,153800,1418,1335
12/31/2016,Atlanta,239900,245000,199500,1299,1295,1300,177400,178900,155300,1417,1335
1/31/2017,Atlanta,239900,244718,197994.5,1300,1300,1325,178600,180000,156900,1415,1333
2/28/2017,Atlanta,242445,249000,188900,1349,1345,1350,179600,181000,158200,1412,1333
3/31/2017,Atlanta,250000,257500,195000,1350,1350,1400,180600,182200,159200,1413,1333
4/30/2017,Atlanta,259900,265000,199900,1400,1400,1450,181800,183300,160100,1419,1336
5/31/2017,Atlanta,263995,269900,199990,1400,1400,1450,182800,184300,161000,1429,1340
6/30/2017,Atlanta,265000,269900,201544,1420,1425,1400,183600,185100,161800,1440,1348
7/31/2017,Atlanta,264900,269900,203635,1450,1450,1400,184400,186000,162900,1446,1361
8/31/2017,Atlanta,261000,268535,204000,1400,1400,1395,185600,187200,164300,1446,1376
9/30/2017,Atlanta,263000,269000,207121.5,1400,1400,1395,187200,188700,166000,1445,1386
10/31/2017,Atlanta,265000,269900,210000,1395,1395,1395,188600,190000,167300,1448,1390
11/30/2017,Atlanta,265000,269900,210000,1395,1395,1395,189900,191400,168600,1435,1391
12/31/2017,Atlanta,265000,269900,212000,1395,1395,1395,191700,193200,170100,1439,1390
1/31/2018,Atlanta,269900,274900,217900,1400,1400,1400,194400,195800,171800,1436,1390
2/28/2018,Atlanta,274900,279000,219000,1400,1400,1450,197200,198600,173700,1440,1391
3/31/2018,Atlanta,279900,284355,220000,1425,1430,1400,199200,200700,175200,1448,1392
4/30/2018,Atlanta,287983.5,293000,222413.5,1495,1495,1450,200900,202400,176400,1455,1393
5/31/2018,Atlanta,290000,297790,225000,1495,1495,1455,202900,204500,178000,1463,1394
6/30/2018,Atlanta,290000,298000,225000,1499,1500,1480,204600,206500,179600,1474,1394
7/31/2018,Atlanta,284900,289900,229196,1500,1500,1500,206100,208100,180800,1474,1394
8/31/2018,Atlanta,279900,285000,228520,1495,1495,1450,207700,209400,182100,1474,1395
9/30/2018,Atlanta,281900,289000,227700,1460,1465,1400,209800,211400,184100,1473,1395
10/31/2018,Atlanta,279900,285000,224900,1450,1450,1400,212500,214300,186500,1475,1399
11/30/2018,Atlanta,279000,284915,219900,1450,1450,1400,215300,217200,188700,1473,1412
12/31/2018,Atlanta,278010,284000,220000,1450,1450,1400,217300,219000,190700,1479,1428
1/31/2019,Atlanta,275900,281512,224900,1454,1474.5,1400,218600,220400,192300,1474,1440
2/28/2019,Atlanta,279900,284990,225000,1465,1475,1447,219800,221800,193300,1480,1445
3/31/2019,Atlanta,288990,292000,225550,1495,1495,1480,220400,222300,193600,1488,1449
4/30/2019,Atlanta,293990,299400,229250,1500,1510,1475,220100,221900,193200,1498,1454
5/31/2019,Atlanta,294900,299900,229000,1550,1560,1480,219500,221300,192300,1510,1465
6/30/2019,Atlanta,293900,299000,229900,1560,1570,1500,219800,221400,191600,1523,1477
9/30/2014,Austin,298600,299900,242750,1425,1425,1400,220700,224600,175300,1721,1629
10/31/2014,Austin,295743.5,299000,240000,1400,1400,1395,223200,227100,176500,1725,1641
11/30/2014,Austin,291900,294810,249000,1395,1395,1375,225400,229400,177400,1736,1648
12/31/2014,Austin,300990,305983,248000,1395,1395,1325,227600,231500,178700,1748,1648
1/31/2015,Austin,302131,307033.5,249000,1400,1399,1400,229400,233100,180200,1758,1651
2/28/2015,Austin,312829.5,316990,249900,1400,1400,1395,231200,234700,181100,1768,1658
3/31/2015,Austin,315000,319990,249900,1400,1415,1400,233000,236600,181700,1768,1668
4/30/2015,Austin,320000,325000,250000,1450,1450,1400,235200,238600,182600,1764,1679
5/31/2015,Austin,323985,325000,259500,1495,1495,1395,237400,240700,183800,1782,1687
6/30/2015,Austin,325000,329900,259900,1500,1525,1399,239300,242500,184700,1793,1696
7/31/2015,Austin,324900,327000,255000,1525,1550,1437,240700,243800,185800,1802,1708
8/31/2015,Austin,325000,329421,260000,1517,1550,1450,242000,245100,187000,1810,1721
9/30/2015,Austin,325000,328990,269000,1525,1550,1450,243300,246700,188400,1813,1729
10/31/2015,Austin,332990,335990,267500,1525,1550,1495,244600,247800,189500,1814,1728
11/30/2015,Austin,330000,334000,265000,1525,1549.5,1495,246000,249000,190200,1801,1719
12/31/2015,Austin,339990,342990,273178,1500,1500,1450,247700,250700,191100,1789,1710
1/31/2016,Austin,335000,338422.5,279900,1500,1500,1499.5,249400,252700,192000,1791,1710
2/29/2016,Austin,329000,329995,301023,1500,1500,1535,250800,254100,192600,1799,1712
3/31/2016,Austin,333959.5,338078,295896,1500,1500,1500,252600,255900,193800,1800,1719
4/30/2016,Austin,329900,334000,299000,1450,1450,1436.5,255100,258400,195900,1809,1723
5/31/2016,Austin,329998,334990,299932,1450,1450,1400,257900,261200,197400,1823,1732
6/30/2016,Austin,338900,340000,305900,1495,1500,1425,260800,264100,198100,1838,1741
7/31/2016,Austin,334900,338490,306977,1497,1500,1445,263400,267000,198900,1838,1747
8/31/2016,Austin,332415,335990,299999,1497,1500,1450,265700,269000,200000,1827,1749
9/30/2016,Austin,329990,332784,305000,1450,1450,1375,267500,270700,201000,1818,1748
10/31/2016,Austin,336000,339900,300000,1406.5,1400,1430.5,269200,272400,203100,1804,1744
11/30/2016,Austin,330096.5,335000,299500,1400,1400,1425,270800,274200,205800,1793,1737
12/31/2016,Austin,329000,330000,299000,1400,1400,1395,272200,275700,207600,1781,1724
1/31/2017,Austin,327000,329900,299500,1500,1500,1500,273300,276900,207900,1769,1710
2/28/2017,Austin,334900,335950,308000,1550,1575,1500,274800,278400,208600,1763,1699
3/31/2017,Austin,339000,340000,302000,1595,1600,1500,276700,280200,210300,1763,1696
4/30/2017,Austin,345000,349022,299990,1625,1650,1500,278600,282200,212200,1770,1699
5/31/2017,Austin,347900,349900,304947.5,1650,1665,1500,280000,283500,213900,1785,1709
6/30/2017,Austin,345995,349822,300000,1650,1687.5,1519,280700,284200,215700,1790,1723
7/31/2017,Austin,344900,348435,299500,1650,1675,1495,281000,284900,217400,1785,1735
8/31/2017,Austin,339950,344000,299900,1625,1650,1450,281400,285500,218500,1770,1741
9/30/2017,Austin,337000,339750,299900,1600,1650,1425,282300,286100,217200,1757,1741
10/31/2017,Austin,335990,339000,310000,1600,1600,1450,284000,287400,214500,1745,1735
11/30/2017,Austin,329990,331990,309500,1595,1600,1495,285800,289200,213000,1734,1723
12/31/2017,Austin,329900,329999.5,306000,1595,1600,1495,287100,290600,213400,1729,1708
1/31/2018,Austin,325000,325000,314950,1600,1600,1495,288800,292500,215800,1734,1697
2/28/2018,Austin,326851,327755,318995,1600,1625,1512.5,291400,295000,219600,1735,1694
3/31/2018,Austin,332992.5,334900,317000,1625,1650,1500,293600,297400,222600,1744,1695
4/30/2018,Austin,335000,336995,314995,1650,1690,1550,294700,298600,223900,1749,1697
5/31/2018,Austin,338990,339900,314000,1675,1695,1500,295700,299700,225800,1765,1697
6/30/2018,Austin,339000,339900,315000,1695,1700,1500,297100,301000,228100,1772,1697
7/31/2018,Austin,336625,339000,315000,1695,1700,1500,298400,302300,230900,1773,1697
8/31/2018,Austin,329900,330000,315000,1690,1695,1500,299500,303500,233300,1771,1696
9/30/2018,Austin,328990,329250,315000,1650,1685,1500,301000,304800,235800,1773,1696
10/31/2018,Austin,326325,328000,312000,1650,1650,1522.5,302700,306600,238400,1773,1699
11/30/2018,Austin,326000,327997.5,311500,1650,1650,1549,304900,308600,240700,1769,1712
12/31/2018,Austin,324900,324900,317400,1650,1650,1550,307200,311000,243300,1773,1725
1/31/2019,Austin,323000,323990,316349,1650,1659.5,1575,309100,312900,246000,1747,1734
2/28/2019,Austin,325990,327990,315375,1650,1654.5,1600,311100,315000,248400,1753,1736
3/31/2019,Austin,329000,329900,316750,1675,1695,1600,312100,316000,248500,1759,1739
4/30/2019,Austin,338000,339013.5,317940,1695,1700,1599,311700,315800,246400,1769,1745
5/31/2019,Austin,335990,337990,317190,1700,1725,1600,311500,315500,245400,1782,1756
6/30/2019,Austin,335986.5,337990,318990,1705.5,1750,1600,312100,316000,246600,1792,1771
9/30/2014,Chicago,225000,230000,197000,1650,1645,1650,182200,190500,144400,1706,1651
10/31/2014,Chicago,224000,229900,192500,1650,1641,1650,182500,190800,145300,1702,1654
11/30/2014,Chicago,219900,228260,189900,1600,1600,1600,183000,191200,146500,1695,1655
12/31/2014,Chicago,215000,224900,185000,1608,1600,1650,183700,191500,147600,1690,1651
1/31/2015,Chicago,210900,219900,179900,1600,1600,1614,184300,191900,148300,1685,1644
2/28/2015,Chicago,219900,225945,189900,1625,1613,1638,184500,192300,148800,1681,1637
3/31/2015,Chicago,229900,239000,199000,1649,1616,1650,185000,192900,149900,1687,1636
4/30/2015,Chicago,232500,240000,199000,1650,1650,1650,186100,194100,151500,1690,1640
5/31/2015,Chicago,239900,249900,199000,1650,1650,1650,187000,195000,152800,1701,1648
6/30/2015,Chicago,240000,250000,199900,1650,1650,1650,187900,195700,153800,1712,1661
7/31/2015,Chicago,239900,249900,199000,1674,1670,1675,188700,196500,154200,1719,1674
8/31/2015,Chicago,239900,249900,195000,1675,1675.5,1670.5,189200,197300,154200,1723,1689
9/30/2015,Chicago,237500,249000,192500,1650,1650,1650,189900,198100,154800,1727,1696
10/31/2015,Chicago,235000,248000,189900,1604,1625,1600,191000,199300,156200,1721,1698
11/30/2015,Chicago,230000,244888,188000,1645,1629,1650,192200,200500,157300,1715,1689
12/31/2015,Chicago,228900,238900,185000,1600,1600,1600,192800,201200,157800,1706,1676
1/31/2016,Chicago,228400,235500,189900,1600,1600,1650,193100,201600,158000,1702,1667
2/29/2016,Chicago,237500,246000,199900,1630,1600,1675,193600,202100,158500,1706,1662
3/31/2016,Chicago,248900,257000,208000,1650,1600,1690,194500,202900,158700,1700,1665
4/30/2016,Chicago,250000,264900,214800,1650,1600,1700,195400,203600,159300,1705,1668
5/31/2016,Chicago,258000,269500,211995,1650,1625,1675,196200,204500,160700,1712,1670
6/30/2016,Chicago,259900,270000,215000,1650,1611,1675,196900,205300,161900,1713,1673
7/31/2016,Chicago,257900,269000,214000,1650,1629.5,1650,197600,206100,162300,1715,1680
8/31/2016,Chicago,250000,264900,209900,1650,1625,1650,198500,207100,162900,1718,1688
9/30/2016,Chicago,250000,260000,214900,1600,1600,1625.5,199600,208500,163600,1718,1694
10/31/2016,Chicago,250000,259900,219000,1601,1600,1650,200800,209700,164200,1707,1696
11/30/2016,Chicago,249900,259000,218000,1600,1595,1600,202000,210800,165300,1703,1693
12/31/2016,Chicago,245000,249999,214900,1600,1595,1600,203000,211900,166200,1697,1682
1/31/2017,Chicago,247500,250000,219900,1600,1575,1631,203900,213000,166700,1683,1668
2/28/2017,Chicago,255000,260000,229900,1600,1575,1660,204800,213900,167100,1678,1656
3/31/2017,Chicago,264900,270000,234000,1625,1600,1664,205700,214700,167900,1680,1654
4/30/2017,Chicago,269900,279000,235000,1650,1617,1695,206800,215600,168500,1690,1661
5/31/2017,Chicago,270000,279900,235000,1695,1650,1700,207900,216600,169000,1702,1674
6/30/2017,Chicago,274900,280000,239000,1700,1675,1735,208600,217100,169400,1705,1686
7/31/2017,Chicago,269900,279900,234500,1700,1700,1750,209400,217700,170100,1714,1697
8/31/2017,Chicago,268000,275000,229900,1700,1675,1750,210500,218700,170700,1716,1706
9/30/2017,Chicago,267900,274900,230000,1695,1650,1725,211400,219600,171100,1712,1714
10/31/2017,Chicago,265000,273900,234515.5,1650,1625,1700,212200,220200,171400,1705,1719
11/30/2017,Chicago,264000,269900,234900,1650,1602,1696.5,213300,221300,171900,1695,1719
12/31/2017,Chicago,259000,264900,233000,1650,1620,1675,214600,222800,172700,1690,1713
1/31/2018,Chicago,259900,265300,239000,1650,1600,1675,216100,224300,174000,1684,1704
2/28/2018,Chicago,272770,279000,249000,1650,1600,1695,217900,225900,175000,1686,1698
3/31/2018,Chicago,279000,285000,250000,1695,1650,1702,219000,227400,175000,1690,1696
4/30/2018,Chicago,284900,294000,249900,1695,1650,1700,219500,228100,174600,1706,1696
5/31/2018,Chicago,285000,295000,249000,1700,1695,1745,220000,228800,174500,1714,1696
6/30/2018,Chicago,287500,299000,249000,1750,1700,1775,220400,229500,174600,1735,1695
7/31/2018,Chicago,284900,294900,246500,1750,1715,1775,220600,230000,174400,1733,1694
8/31/2018,Chicago,279900,289900,245000,1750,1700,1800,221000,230200,174400,1734,1694
9/30/2018,Chicago,279900,289500,249000,1700,1700,1750,221700,231000,174800,1734,1693
10/31/2018,Chicago,279000,285000,248000,1700,1675,1700,222300,232000,175000,1733,1697
11/30/2018,Chicago,275500,284990,249000,1695,1650,1700,223100,232800,175100,1731,1713
12/31/2018,Chicago,274900,279900,249700,1675,1645,1700,224200,233800,175400,1732,1731
1/31/2019,Chicago,275000,280238,250000,1650,1638,1700,225200,235000,176000,1709,1747
2/28/2019,Chicago,284500,289900,259900,1650,1650,1695,226000,236000,176900,1711,1750
3/31/2019,Chicago,289900,299000,260000,1695,1650,1700,226600,236400,177900,1714,1752
4/30/2019,Chicago,297500,300690,265000,1700,1695,1725,226600,236400,178300,1724,1757
5/31/2019,Chicago,295000,299999,260000,1700,1700,1725,225900,235800,177600,1737,1762
6/30/2019,Chicago,294900,299900,259000,1725,1700,1750,225400,235300,176900,1749,1771
9/30/2014,Nashville,229000,234900,169900,1450,1450,1450,163400,164400,147800,1474,1296
10/31/2014,Nashville,234000,239600,179900,1450,1450,1395,164400,165500,149200,1478,1305
11/30/2014,Nashville,235000,239900,174900,1450,1450,1397,165400,166600,150600,1479,1311
12/31/2014,Nashville,239900,246900,183900,1425,1435,1425,166500,167800,151600,1486,1318
1/31/2015,Nashville,244500,249900,185000,1425,1435,1400,167700,169000,152600,1496,1324
2/28/2015,Nashville,249900,255000,189900,1450,1450,1450,168800,170000,153600,1491,1332
3/31/2015,Nashville,266900,271900,183900,1475,1475,1425,170100,171000,154900,1494,1340
4/30/2015,Nashville,269900,275000,190000,1495,1495,1425,171500,172500,156400,1508,1349
5/31/2015,Nashville,263990,269900,190000,1500,1500,1449,172900,173900,158000,1535,1360
6/30/2015,Nashville,269000,274900,197950,1500,1500,1462.5,174100,175100,159200,1558,1375
7/31/2015,Nashville,265900,271990,190000,1500,1500,1495,175400,176400,160000,1573,1392
8/31/2015,Nashville,266950,271995,204900,1500,1500,1500,177100,178200,161400,1580,1408
9/30/2015,Nashville,275000,279998,200000,1500,1500,1500,179100,179900,163400,1584,1418
10/31/2015,Nashville,274990,279900,206900,1495,1499,1475,181000,181700,165600,1584,1421
11/30/2015,Nashville,279900,288900,210480,1495,1495,1495,182800,183700,168000,1573,1417
12/31/2015,Nashville,285000,289900,209900,1495,1500,1450,184500,185500,170000,1564,1410
1/31/2016,Nashville,297000,299900,237000,1500,1500,1495,186100,187100,171800,1563,1409
2/29/2016,Nashville,294900,298950,239900,1500,1500,1495,187600,188600,173300,1559,1411
3/31/2016,Nashville,290000,296945,241750,1545,1550,1495,189300,190200,174700,1555,1420
4/30/2016,Nashville,299000,299900,239900,1525,1550,1467.5,191200,192200,176200,1567,1428
5/31/2016,Nashville,299900,306372.5,240000,1500,1545,1500,193100,194100,177800,1583,1439
6/30/2016,Nashville,299900,309900,239900,1550,1575,1550,195000,196100,178800,1597,1449
7/31/2016,Nashville,299900,303990,240000,1550,1575,1495,197000,198400,179900,1611,1457
8/31/2016,Nashville,299900,300000,239900,1549,1550,1495,199400,200900,181600,1625,1464
9/30/2016,Nashville,298000,300000,229710,1500,1500,1495,201900,203100,183200,1630,1471
10/31/2016,Nashville,299900,305000,229900,1500,1500,1400,203900,205200,184000,1621,1477
11/30/2016,Nashville,299990,309999,230000,1500,1500,1450,206000,207500,185100,1609,1480
12/31/2016,Nashville,299950,310817.5,229900,1475,1495,1400,208700,210200,187300,1597,1478
1/31/2017,Nashville,299900,305350,234000,1550,1595,1400,211200,212700,189900,1593,1471
2/28/2017,Nashville,300778,314900,244900,1595,1600,1450,213300,214800,191600,1588,1465
3/31/2017,Nashville,315000,324900,249900,1600,1600,1500,215900,217400,193200,1596,1464
4/30/2017,Nashville,329900,339000,264900,1600,1600,1550,218500,220000,194500,1603,1470
5/31/2017,Nashville,339900,343900,291250,1625,1650,1595,220200,221700,195500,1612,1481
6/30/2017,Nashville,339000,342945,285000,1650,1650,1595,222000,223500,196600,1616,1491
7/31/2017,Nashville,330000,338870.5,280000,1625,1650,1550,224000,225500,198100,1619,1500
8/31/2017,Nashville,329900,335000,289900,1600,1650,1495,225900,227400,199600,1618,1508
9/30/2017,Nashville,329900,334900,279686,1600,1650,1500,227600,229300,201100,1610,1514
10/31/2017,Nashville,329900,339000,274900,1600,1625,1495,229200,231000,202400,1596,1515
11/30/2017,Nashville,335000,340000,279000,1595,1600,1495,231000,232600,203900,1584,1509
12/31/2017,Nashville,334900,339900,269995,1595,1595,1475,232900,234400,206000,1571,1502
1/31/2018,Nashville,329900,335995,269900,1595,1595,1500,235100,237000,208300,1573,1496
2/28/2018,Nashville,336711,342945,275000,1595,1600,1500,237800,239900,210300,1573,1494
3/31/2018,Nashville,334900,339900,278213.5,1600,1650,1495,240300,242500,211900,1576,1494
4/30/2018,Nashville,339900,345000,289900,1650,1650,1500,242400,244400,213100,1575,1494
5/31/2018,Nashville,334900,339900,289900,1650,1652.5,1550,244100,246000,214100,1583,1495
6/30/2018,Nashville,335000,339900,289000,1650,1665,1550,245000,247000,214800,1582,1495
7/31/2018,Nashville,329900,335055,280609.5,1650,1677.5,1550,245900,247900,215400,1583,1495
8/31/2018,Nashville,327000,330000,272900,1632.5,1650,1500,247100,249200,215900,1584,1495
9/30/2018,Nashville,329000,332900,275000,1620,1650,1500,248500,251000,216900,1581,1494
10/31/2018,Nashville,325990,330000,275000,1600,1650,1500,250500,252900,218900,1585,1498
11/30/2018,Nashville,324900,329000,279000,1600,1640,1495,252700,254900,220700,1584,1508
12/31/2018,Nashville,325000,329900,271000,1600,1625,1495,254400,256700,221800,1583,1520
1/31/2019,Nashville,324900,329900,269900,1600,1625,1500,255700,258100,222200,1563,1528
2/28/2019,Nashville,325000,329900,269900,1645,1650,1500,256800,259000,222100,1569,1531
3/31/2019,Nashville,325680.5,330900,269900,1650,1650,1550,257000,259300,221300,1572,1533
4/30/2019,Nashville,332995,339900,274900,1650,1695,1550,256100,258600,220500,1578,1536
5/31/2019,Nashville,334050.5,339900,272900,1685,1695,1575,255400,257900,220000,1592,1540
6/30/2019,Nashville,334900,339900,269900,1690,1695,1562.5,255500,258000,220300,1609,1548
