"Nashville-Davidson--Murfreesboro--Franklin Metro, TN Zillow Home Value Index - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,09/15/2009,10/15/2009,11/15/2009,12/15/2009,01/15/2010,02/15/2010,03/15/2010,04/15/2010,05/15/2010,06/15/2010,07/15/2010,08/15/2010,09/15/2010,10/15/2010,11/15/2010,12/15/2010,01/15/2011,02/15/2011,03/15/2011,04/15/2011,05/15/2011,06/15/2011,07/15/2011,08/15/2011,09/15/2011,10/15/2011,11/15/2011,12/15/2011,01/15/2012,02/15/2012,03/15/2012,04/15/2012,05/15/2012,06/15/2012,07/15/2012,08/15/2012,09/15/2012,10/15/2012,11/15/2012,12/15/2012,01/15/2013,02/15/2013,03/15/2013,04/15/2013,05/15/2013,06/15/2013,07/15/2013,08/15/2013,09/15/2013,10/15/2013,11/15/2013,12/15/2013,01/15/2014,02/15/2014,03/15/2014,04/15/2014,05/15/2014,06/15/2014,07/15/2014,08/15/2014,09/15/2014,10/15/2014,11/15/2014,12/15/2014,01/15/2015,02/15/2015,03/15/2015,04/15/2015,05/15/2015,06/15/2015,07/15/2015,08/15/2015,09/15/2015,10/15/2015,11/15/2015,12/15/2015,01/15/2016,02/15/2016,03/15/2016,04/15/2016,05/15/2016,06/15/2016,07/15/2016,08/15/2016,09/15/2016,10/15/2016,11/15/2016,12/15/2016,01/15/2017,02/15/2017,03/15/2017,04/15/2017,05/15/2017,06/15/2017,07/15/2017,08/15/2017,09/15/2017,10/15/2017,11/15/2017,12/15/2017,01/15/2018,02/15/2018,03/15/2018,04/15/2018,05/15/2018,06/15/2018,07/15/2018,08/15/2018,09/15/2018,10/15/2018,11/15/2018,12/15/2018,01/15/2019,02/15/2019,03/15/2019,04/15/2019,05/15/2019,06/15/2019,07/15/2019,08/15/2019
Nashville-Davidson--Murfreesboro--Franklin Metro,metro,All Homes,152500,152100,151900,151900,152000,152300,151700,150600,149900,149800,149400,148900,148200,147500,146800,146200,145700,145200,144600,144000,143600,143200,142800,142400,142200,142100,142200,141900,141600,141700,142000,142200,142600,143200,143700,144000,144300,144900,145300,145800,145900,146000,146600,147500,148700,149800,151000,152000,152800,153500,154100,154900,156000,156700,157400,158400,159500,160300,161100,162300,163400,164300,165300,166500,167700,168900,170100,171600,173000,174100,175500,177200,179100,181100,183000,184600,186300,187800,189500,191400,193300,195000,197100,199500,201900,203900,205900,208600,211100,213300,216000,218600,220300,222100,224100,225900,227400,229000,230700,232500,234800,237600,240100,242200,244000,245000,245800,246900,248400,250500,252500,254200,255800,257200,257300,256400,255700,255800,256300,256700
Adams,city,All Homes,160800,162800,164200,165200,166900,168400,169400,170600,172100,174800,177700,178800,177700,176500,176800,179000,180200,177400,173600,172500,173500,173300,171900,170000,169100,170300,172900,173900,174400,177300,180300,180500,179900,179700,181000,184300,187500,188400,188300,188200,186400,183500,181900,183200,185600,186900,186200,185400,185200,184400,184200,184500,184300,184700,188300,191000,190500,189500,190900,192800,193700,193800,193700,193500,193900,194900,196000,197000,197900,198000,197100,196600,196900,197600,196600,195000,195000,196000,196000,196500,197000,198000,200400,203500,205100,206600,208200,209900,211600,213700,215300,215600,215400,216100,215900,214700,214300,214700,215100,215900,218000,221100,223400,225200,227200,229200,230200,230500,231200,232900,234200,235700,237600,239400,239700,239200,239600,241200,241600,241100
Alexandria,city,All Homes,92400,92700,92900,92900,92700,92800,91300,88400,86900,87500,87400,87200,87500,87600,87500,87400,87600,87700,87700,87800,88300,88700,88900,88600,88300,87700,86700,85800,85400,84900,84400,84400,84500,84400,84400,84500,84600,84700,84700,85100,85600,85800,86600,87800,87700,87300,87800,88300,88400,88400,88500,88400,88400,88500,88600,88800,89600,90100,89700,89600,89600,89100,88900,89100,89400,89800,90300,90700,91000,91200,91600,92000,92800,93800,95300,96500,97300,98600,100200,101100,101600,102000,102400,102500,102300,102600,103500,103800,103300,103000,103500,103800,103700,103700,103800,104100,104500,105400,106200,107100,108000,108500,109200,110500,111900,112700,113500,115000,117300,119300,120400,120900,121700,122400,123200,123800,124500,125700,127400,128600
Ashland City,city,All Homes,114900,114300,113800,113600,113400,113700,113300,112000,111300,111700,112200,112500,112400,111900,110900,109500,108200,107200,106300,106000,106300,106100,105700,105700,105900,106400,107000,107200,106900,106500,106400,106600,106800,107200,107300,107200,106900,107000,107300,108400,109800,110600,110700,110700,110700,111000,111500,111600,111500,111300,110600,110500,111300,111900,112000,112300,112500,112400,112700,114200,115900,116800,117100,117100,116600,116300,116700,117500,118000,117900,118000,117900,117600,117400,117600,118400,119900,121500,122700,123100,123600,124700,125800,126300,126600,127900,129800,130500,130700,131400,132100,132600,133300,133600,133400,133800,134700,136200,138400,140200,140400,140200,140600,141700,142800,143300,144400,146400,148600,150600,152000,152700,153600,154900,157000,159000,161300,163400,164600,165100
Bell Buckle,city,All Homes,118900,119000,119200,119300,119600,119600,120000,120800,121500,121700,121500,120900,120000,118600,117600,117100,116800,116400,116200,115500,114600,113800,113100,112500,112700,113500,114000,114000,114200,114100,113300,112700,112900,113600,113900,114100,114300,114600,115000,115500,115900,116000,115900,116400,117200,118000,118600,119200,119700,119800,119800,119600,119200,119800,121700,123700,124900,126100,127200,128300,128900,129500,130500,132100,133200,133700,133500,133300,133600,134100,135000,136200,137000,137700,138700,139900,141100,142500,144000,145700,147600,149700,151900,154200,157500,160700,163000,165100,167600,169800,172000,174400,176300,177600,179000,181100,182800,183900,185400,187000,189500,193800,197600,197800,195900,194800,195000,195100,196500,198800,200700,201700,203100,203300,202900,203500,205500,206900,207900,208400
Bethpage,city,All Homes,84500,85000,85200,85500,85900,86100,85100,83800,83900,84400,83900,82800,81800,81000,80300,78700,76900,76800,78100,78600,77900,77400,76900,75100,72000,69700,69100,69600,70300,71100,72300,73400,73400,72900,73100,74400,75700,76500,77200,77200,76600,75600,75600,76700,77900,79200,80500,81700,83100,83500,82400,81600,81200,81100,80400,79600,79500,80400,81700,82700,83100,83900,84600,85100,86900,88800,89200,89500,90100,90400,90500,91300,91900,92800,94600,97400,99200,99900,101000,102100,103100,104200,105300,105600,107500,110400,112800,114900,117200,118400,119700,121800,123300,123700,124400,127000,130800,133500,135400,137800,140600,142900,144700,146500,148700,149700,150100,150000,150400,151400,153000,153100,153100,153400,152400,150400,150500,152300,154100,155200
Bon Aqua,city,All Homes,83900,83700,83700,84100,84600,84800,84700,84600,84700,85500,86600,87500,87400,86800,86100,85700,85400,85000,84900,85000,85000,84300,83000,81900,81900,82400,82900,82900,83200,84000,84700,84800,85000,86200,87400,87800,88400,89600,90200,89300,87400,85500,85000,84500,83800,83300,83600,83800,83600,83300,83300,83500,84000,84800,85500,86300,87000,87100,86900,86900,86900,87200,87700,88600,90000,91400,92000,92700,94400,96100,97200,98300,99400,99800,100000,100300,100800,100800,100700,101000,101900,102200,102300,102600,103100,103900,104900,106100,107400,109200,110800,111400,111200,111200,111700,112200,112500,112900,113300,114000,114800,115500,116200,116500,116400,116900,119300,122400,124900,126400,127600,128900,130200,130800,131700,134100,136500,136500,135100,133900
Bradyville,city,All Homes,96700,96000,95800,95800,95700,95900,95500,94100,93900,94200,93700,92600,92400,92600,91900,90200,89300,89000,88900,89400,89700,89300,89000,89000,88900,88800,88300,88400,89200,89500,89400,89700,90000,90300,90800,91300,91900,92600,93200,94300,94800,94500,94200,94500,94600,94700,95000,95700,96500,96900,97000,97700,98600,99500,100400,101400,102300,102700,103200,103800,104100,104100,104700,105100,105100,106000,107400,108700,109600,110800,111900,112900,113500,114600,116200,116600,117000,118700,119800,119600,119900,121500,122400,122800,123900,125900,127700,129600,129700,128900,129000,129600,128800,127700,127000,127200,127300,127300,128500,129600,131500,133700,135400,136700,138200,139600,142300,145500,147600,148600,149200,149600,149500,148700,147700,147200,148300,149300,149200,147900
Brentwood,city,All Homes,468300,465400,463800,462700,462800,464400,464300,461800,459700,458800,457400,456400,456400,457100,456400,454300,452000,449300,447200,446800,447600,447700,447400,447300,448200,449600,450300,449200,447000,445500,447100,450600,453500,456700,460100,461200,461300,461700,463000,464300,466100,468400,470100,471500,474100,476900,480200,485400,490200,493400,497600,502400,505500,507900,511100,514200,516500,518800,521200,523900,526600,529100,530600,532300,533500,534100,535900,539100,542100,544300,546100,547800,550600,554000,556200,558500,562600,566300,568600,572400,577800,582300,586900,592200,594900,595600,598000,603300,608500,613300,616700,616400,614100,613400,614200,614000,613900,613000,612100,613100,617000,621000,622800,625500,630100,633400,633900,635200,638600,643400,648200,652800,657000,660300,661900,661600,659000,656800,656500,656900
Burns,city,All Homes,155900,155200,154500,154200,154200,154300,154200,153900,153900,154500,155100,155800,156200,156000,155100,154200,153300,152000,151300,151300,150900,150200,150400,150400,149600,149100,148500,147000,146200,146900,147600,148000,149200,150400,150900,151400,152500,153600,154500,155300,155500,155200,155300,155600,155700,156200,156800,157000,157100,157600,158400,159500,160500,161000,161800,162900,163900,164100,164200,164200,164100,164500,166300,168000,168900,170400,171300,172000,174500,177500,178700,180500,183500,185900,186700,187600,188900,190000,191800,194300,196300,198100,200600,203300,206000,208800,211700,214300,216700,220200,221200,218600,214900,213900,214300,215200,215400,215800,216400,217700,219600,221400,224000,227300,229500,229800,230600,232500,234800,236400,237500,239200,241700,243300,244900,247200,249700,251500,253100,254000
Carthage,city,All Homes,82300,82200,82000,81800,81600,81400,81300,81200,81000,81100,81100,80800,80300,79500,78500,77500,76700,75900,75100,74600,74500,74700,74900,75100,75400,75800,76400,77200,77600,77900,78600,79200,79800,80200,80300,80400,80300,80300,80300,79800,79300,79300,79400,79300,79100,78900,79400,79700,79800,80100,80600,81000,81600,82400,83000,83400,83900,84400,84800,85200,85800,86100,86300,86800,87500,87800,88200,88800,89400,89800,90100,90400,91000,92000,92700,93700,94900,95600,96400,98000,99500,100800,101700,102300,103000,103900,104600,105500,106900,108900,110900,112500,114000,115500,116800,118000,119100,120400,121800,123400,124800,125900,126500,126500,126500,126200,126200,127400,129400,130900,132100,132300,132200,132100,131800,131200,130900,130500,131400,133000
Castalian Springs,city,All Homes,137600,138000,138400,138500,138700,139200,138600,136500,134800,134100,133600,133300,132700,131800,130700,129600,128900,128500,127700,127200,127800,128600,128500,128500,128300,127400,126300,126000,126000,125800,126400,127000,126900,126100,126000,125900,125900,126100,126600,126900,127100,127100,127800,129100,130100,131100,132300,133100,133200,133400,134400,135900,136600,137200,137300,137400,137600,138300,138600,138500,139500,141500,142500,142400,143100,144200,145400,147100,148700,149600,150300,151400,152400,153200,154000,155300,156400,157300,158300,159500,160500,161800,163800,166400,169400,172700,175600,177800,179100,179900,180900,182400,183600,184400,185300,186100,186100,186100,187200,188900,190600,192400,193500,194400,196300,198400,200000,201600,203500,205700,207800,209800,211700,213500,214400,214400,214600,215100,215900,216700
Cedar Hill,city,All Homes,122300,122100,122000,122000,122100,122500,121900,120500,119900,120700,121500,122200,122500,122100,121700,121500,121100,119700,118600,118200,118100,117900,117600,116900,116200,116100,116400,116300,116000,115900,115900,116300,116700,116200,115900,116400,117800,119000,119800,121400,123600,125300,126000,126500,126700,127400,127500,126600,125800,125600,124800,123500,122300,121700,122900,125400,127000,127500,128100,129600,131200,132800,134300,134500,133600,133000,132600,131900,131100,130900,131200,131300,130700,130500,132100,135100,138700,141700,144000,145500,147600,150200,153000,155300,157600,159700,162000,164800,167100,168600,169400,169500,170500,172700,173700,173200,172300,170500,167300,164600,164200,165200,166800,170000,174000,176300,177000,178500,180900,183400,185100,185700,185300,185700,185600,184200,181100,178500,178900,181700
Centerville,city,All Homes,70900,70700,70600,70600,70900,71100,71300,71500,71800,72300,72800,73000,73200,73200,73100,72900,73000,73200,73500,73600,73400,72900,72200,71300,70900,70800,71100,71500,71900,72400,72600,72600,72700,73500,74700,75300,75600,76200,76600,76200,74700,73200,72300,72000,72000,71900,71900,71900,71800,71500,71200,71200,71500,71900,72200,72500,72700,72800,72800,72900,73100,73500,73800,74300,75100,75800,76100,76400,77000,77500,77600,78000,78600,78800,79000,79400,79700,79800,80400,81100,81400,81700,82200,82200,82500,83300,83700,84000,84800,85700,86500,87600,88500,89000,89000,88800,88800,88800,89100,89800,90400,91400,92600,93100,92800,93100,94900,97300,99500,101300,103000,104300,105300,105800,105700,105800,106600,106800,107000,107900
Chapmansboro,city,All Homes,126800,126300,126100,126000,125900,125900,125900,125300,125200,125900,126700,127100,127000,126400,125300,124100,122900,121800,120500,120100,120200,119900,119200,118900,119000,119800,120900,121400,121200,121100,121100,121200,121300,121700,122100,122400,122500,122700,123200,124500,126500,128200,129100,129200,129100,129200,129600,129800,129900,129600,128900,128400,128600,129100,129700,130200,130800,131300,131900,133400,135500,136600,137000,137300,137000,136500,136900,138100,139300,139800,140300,140500,140900,141600,142300,143300,144800,146500,147900,149500,150900,152100,153300,154500,155200,156300,158000,158700,159100,160000,160700,161100,162200,163300,163800,164800,166200,168000,170600,173300,174500,175300,176300,176800,176700,177000,178700,180600,182200,184200,185800,187000,188500,190100,192200,194000,194900,196100,197400,198100
Charlotte,city,All Homes,87700,87500,87400,87000,86700,87000,87500,87600,87800,88100,88500,88800,89000,89000,88800,88700,88300,87500,87000,86700,86500,86400,86600,86600,86400,86300,86000,85300,84800,84900,85300,85800,86100,86100,85900,85700,85900,86400,86800,87200,87700,87900,87900,87800,87800,88300,88600,88500,88300,88200,87800,87900,88500,89100,89400,90000,90900,91700,91900,91800,91800,92100,92900,93600,94100,95400,96600,97500,99000,100800,102400,104800,107900,110900,113800,116000,116400,113500,111400,112100,113600,113300,114000,115500,116500,116800,117700,119100,120400,122600,124100,123400,121500,120800,120400,119900,119600,119200,119200,119000,120400,124100,128000,129600,130500,131600,133100,134600,136400,138200,139400,140600,142000,143200,144600,146200,147900,149600,150600,150600
Christiana,city,All Homes,132100,132300,132700,132900,133200,133600,133500,133500,134300,135300,135400,134900,134500,133900,133000,132000,131200,131300,131800,131100,129300,128000,127800,128300,128600,129000,129400,129700,129900,130000,129900,129800,129800,130100,130200,129900,129800,130200,131000,132000,132300,131700,131200,131500,132100,132500,133100,133600,133900,133800,133900,133900,134000,134500,135400,136300,137400,138500,139700,140900,141700,142500,143100,143600,144400,145400,146000,147500,149800,151400,152000,152900,154400,155800,157200,158600,159700,160300,161200,162700,164200,165400,166700,168200,170400,172400,173800,175800,178600,181300,184400,187700,190000,192000,194300,196300,198000,199400,200800,202400,204100,205700,207100,207800,208400,208600,209000,209300,210100,211700,214100,216400,218500,221000,222300,221600,220800,221400,222600,223200
College Grove,city,All Homes,269300,266400,265000,263800,261200,262600,263400,257200,250300,250000,250200,248100,244300,239300,234100,230000,229300,228600,225700,223900,227000,228500,226900,225500,226800,230100,235200,235100,232800,231600,232600,231900,225900,219400,220200,223800,223800,221500,219500,219000,217400,216600,219100,226400,235400,244500,250200,256900,266500,274800,277500,279000,277700,268800,258200,252400,249000,244900,241000,239800,241400,246400,255100,266000,274800,282900,291700,298300,302200,304400,305800,307500,309600,309600,309500,312100,315700,316800,316500,318700,324500,333700,343900,350800,356800,365800,373000,378700,386300,395200,401800,403800,404900,412000,418800,419800,416700,413100,411100,412500,423900,444500,464400,481700,497300,502300,504500,511000,517900,521200,523000,525200,529000,533600,538300,541600,541800,541300,541600,541200
Columbia,city,All Homes,113400,113100,113100,113600,114200,114300,114400,114900,115100,114700,114000,113100,112200,111800,111500,110400,109000,108000,107200,106700,107000,107200,107100,107300,108000,107800,106300,104900,103900,103400,103300,103300,103100,103000,103100,103600,104000,103900,104200,105500,106600,107100,107700,108400,108900,109100,109300,109700,109900,110100,110400,110300,109900,110300,111300,112600,113500,114500,115500,116400,116400,116800,117500,118400,119800,121300,121600,120800,120200,120600,122100,123700,125200,126400,127500,128500,129500,130100,130600,131300,132300,133400,134300,134900,136200,138500,140600,142600,144400,145400,146600,148900,151900,154800,157200,158900,160400,161600,163000,164100,165500,167600,169500,171100,172800,174100,174900,175500,177100,179700,182500,185100,187400,189800,191000,190200,188400,187000,186200,186300
Coopertown,city,All Homes,164400,164700,164800,164700,163700,163600,163900,163200,161800,162200,163400,165100,166800,167100,166300,165000,163900,162600,161400,160400,159900,158900,157900,157000,156200,155900,156400,157200,157700,157700,157300,157300,157500,157200,156800,155900,155000,155200,156700,159900,164300,168100,170200,173200,176700,178900,180000,181100,182000,182400,181900,181100,179900,178700,178600,179000,178600,178800,179500,180000,180900,182500,184100,184700,184600,185700,188000,188900,188700,188800,188900,189400,190700,192100,193300,195500,198300,198900,198400,199400,202400,206300,210600,213500,215100,216700,218800,220400,221600,222900,224400,225200,225300,224600,223700,223500,222800,220700,219100,217900,218800,222600,227500,232000,237100,241300,245400,250200,255100,258700,260800,261500,261700,260700,257800,254400,252200,251900,252400,252600
Cross Plains,city,All Homes,127400,126900,126400,126400,125500,125300,125300,124800,124000,124900,125700,126400,126600,125500,124600,124000,123100,121800,121300,121000,121200,120800,119700,118800,118300,118100,118300,118700,119000,119200,118900,118800,119000,119100,120400,122200,123700,124500,124500,124000,125300,127200,129000,130700,131700,131500,130500,129800,129200,129600,130400,131500,131700,131300,130500,130300,130600,132400,136200,140100,144100,149000,152400,153900,153400,151900,151500,152000,152600,153900,153200,150700,149900,150200,151400,153600,156800,160000,162500,163900,165200,165400,165200,165500,165600,165800,166800,167900,169000,170800,173300,176400,179800,181900,183100,184400,185400,185800,186100,186600,187700,189000,189500,190100,191400,192500,193900,196500,199300,201500,203300,204300,205200,206800,208100,207600,205900,205100,206100,207900
Culleoka,city,All Homes,117700,118000,118700,119700,120900,121300,122200,124800,126900,126600,125100,123700,123000,122700,121500,119500,118500,118400,117500,116900,117000,116800,116000,115600,115600,115300,113400,108600,102800,98900,98300,99000,99500,98700,97500,97500,98500,99000,99800,103500,107400,109800,111000,110300,109000,110100,112400,112800,112100,111600,111700,110900,109900,110300,111900,113300,114900,117100,119200,121000,122100,123200,124600,127300,130400,133100,133100,132500,132100,133700,137000,141000,143500,144800,145600,146400,146800,146800,147500,148400,148400,146400,143400,141700,142200,143900,146200,149200,151900,152200,153200,156500,161500,166200,169300,170900,172500,175100,178700,181500,184100,187100,188200,187700,187300,187000,186100,185300,185500,187200,188700,190500,193500,197000,198200,198000,197300,197600,200400,203500
